figure_id,stem,role,evidence_level,submission_disposition,evidence_value,reviewer_risk,claim_boundary,exports_complete,all_sources_available,pdf
Fig. 1,paper2_fig1_voxel_topology_framework,packed-bed transport diagnostic separating breakthrough from pore-network clogging,summary_visualization,main_keep,orientation,"Useful as an argument map, but should not replace quantitative evidence in Figs. 2-7.",Mechanism overview only; detailed quantitative claims are supported by Figs. 2-4 and source tables.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_fig1_voxel_topology_framework.pdf
Fig. 2,paper2_fig2_baseline_voxel_topology,baseline voxel-derived pore topology,production_postprocessing,main_keep,core_evidence,Keep as a core figure for the CES mechanism story.,"DEM-derived voxel reconstruction, not experimental CT.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_fig2_baseline_voxel_topology.pdf
Fig. 3,paper2_fig3_representative_debris_blockage,representative drive-state transport and blockage mechanism,production_result,main_keep,core_evidence,Keep as a core figure for the CES mechanism story.,"Supports pre-clogging migration/filtering states, not critical pore collapse.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_fig3_representative_debris_blockage.pdf
Fig. 11,paper2_fig10_time_resolved_deposition,"time-resolved deposition, front migration and delayed weak breakthrough in the representative case",production_time_resolved_postprocessing,main_keep_with_boundary,time_resolved_deposition,Representative time-resolved post-processing; caption and text must avoid universal speed-law or critical-transition claims.,"Representative time-resolved case only; supports delayed leading-tail breakthrough, not a universal speed law or critical-clogging threshold.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_fig10_time_resolved_deposition.pdf
Fig. 7,paper2_fig4_loading_clogging_response,"loading-dependent BTC, blockage and pressure-free clogging index",single_seed_loading_scan,main_keep_with_boundary,loading_response,Single-seed loading scan; caption and text must avoid monotonic law or transition claims.,Does not establish a monotonic loading law or critical transition.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_fig4_loading_clogging_response.pdf
Fig. 4,paper2_908_spatial_distribution_evidence,high-inventory localized-release population splitting and sparse-front saturation,target_time_high_inventory_slowdown_mechanism,main_keep_with_boundary,localized_high_inventory_mechanism,"High-inventory 908 mechanism evidence; caption and text must avoid completed-BTC, outlet-breakthrough or critical-clogging claims.","Supports near-outlet sparse-front saturation and retained-bulk decoupling at the completed 10.00 ms high-inventory frame; not outlet breakthrough, not a fitted source-strength law and not critical clogging.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_908_spatial_distribution_evidence.pdf
Fig. 5,paper2_fig7_localized_time_dynamics,"time-resolved localized-release retention, downstream leakage and sparse-front separation",localized_release_time_dynamics,main_keep_with_boundary,localized_time_dynamics,Time-resolved localized-release mechanism evidence; caption and text must avoid source-position scaling-law or critical-clogging claims.,Visualizes DEM tracking of localized-release cases; not a fitted source-position law and not a pressure-calibrated clogging threshold.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_fig7_localized_time_dynamics.pdf
Fig. 6,paper2_openfoam_model_mesh_main,main-text OpenFOAM cropped-domain model and mesh context for returned pressure checks,main_text_visualization_of_returned_openfoam_case,main_keep_with_boundary,openfoam_model_mesh_context,"Main-text OpenFOAM cropped-domain model/mesh context; caption and text must avoid validation, full-device CFD or pressure-calibrated Ib claims.","Documents the cropped-domain OpenFOAM model and mesh context only; not new pressure evidence, not experimental validation and not pressure calibration for Ib.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_openfoam_model_mesh_main.pdf
Fig. 8,paper2_fig6_mechanism_synthesis,"cross-observable mechanism synthesis across drive, localized-release and loading axes",derived_mechanism_synthesis,main_keep_with_boundary,mechanism_synthesis,"Derived cross-observable synthesis; caption and text must avoid fitted-law, CFD-validation or pressure-calibrated threshold claims.","Synthesizes existing DEM and voxel post-processing outputs; not a fitted response law, not CFD validation and not a pressure-calibrated critical-clogging criterion.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_fig6_mechanism_synthesis.pdf
Fig. 9,paper2_fig8_response_landscape,"cross-case response landscape separating transport, deposition, source-release, pressure-proxy and topology observables",derived_cross_case_visualization,main_keep_with_boundary,response_landscape,Derived cross-case visualization; caption and text must avoid fitting sparse case families as a universal law.,Mines existing source tables for visual synthesis; sparse case families are encoded as states and are not fitted as a universal response law.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_fig8_response_landscape.pdf
Fig. 10,paper2_fig9_sparse_front_diagnostics,time-resolved high-inventory sparse-front diagnostics for localized release case 908,target_time_sparse_front_diagnostic,main_keep_with_boundary,sparse_front_diagnostic,908 monitoring-window diagnostic; caption and text must avoid completed-breakthrough or critical-clogging claims.,Supports retained-bulk and rare-front separation for the completed 908 target-time window; not outlet breakthrough and not a critical-clogging threshold.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_fig9_sparse_front_diagnostics.pdf
Fig. S1,paper2_figS1_voxel_size_sensitivity,voxel-size sensitivity,postprocessing_sensitivity,supplement_keep,robustness_check,Supports reconstruction robustness; keep in supplement rather than main text.,Resolution support for the chosen voxel size; coarse grids under-resolve connectivity.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS1_voxel_size_sensitivity.pdf
Fig. S2,paper2_figS2_voxel_coarsening_stress_test,voxel coarsening stress test,postprocessing_sensitivity,supplement_keep,robustness_check,Supports reconstruction robustness; keep in supplement rather than main text.,"Used to bound reconstruction sensitivity, not as independent physical evidence.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS2_voxel_coarsening_stress_test.pdf
Fig. S3,paper2_figS3_ergun_pressure_proxy,Ergun pressure-gradient proxy,closure_proxy,supplement_keep_with_boundary,bounded_pressure_proxy,Keep only as proxy or solver-input support; never describe as CFD/LBM or pressure calibration.,"Not CFD, not measured pressure and not pressure-calibrated Ib.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS3_ergun_pressure_proxy.pdf
Fig. S4,paper2_figS4_time_resolved_deposition,time-resolved deposition and BTC for representative loading case,production_postprocessing,supplement_keep,supporting_evidence,No special risk beyond ordinary source-data traceability.,Supports delayed leading-tail breakthrough for one representative case only.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS4_time_resolved_deposition.pdf
Fig. S5,paper2_figS5_front_migration_metrics,front-migration speed fits,production_postprocessing,supplement_keep,supporting_evidence,No special risk beyond ordinary source-data traceability.,One representative case; not a universal speed law.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS5_front_migration_metrics.pdf
Fig. S6,paper2_figS6_explicit_localized_release_early_segment,early explicit localized-release segment,superseded_by_1M_segment,internal_only,superseded_diagnostic,Do not include in formal submission package; superseded by production-summary figures.,Early-time mechanism support only; superseded by the 1M/10 ms summary.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS6_explicit_localized_release_early_segment.pdf
Fig. S7,paper2_figS7_localized_release_tail_mechanism,localized-release tail mechanism,production_result_906_only,internal_only,superseded_diagnostic,Do not include in formal submission package; superseded by production-summary figures.,Supports 906 source-zone retention to 10 ms only.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS7_localized_release_tail_mechanism.pdf
Fig. S8,paper2_figS8_explicit_localized_production_summary,localized-release production status and available production summaries,production_result_3_of_3_localized_jobs_completed,supplement_keep_with_boundary,localized_release_support,"Useful support for retention-dominated internal release, but not a complete source-location law.","Production mode includes target-time 906, 907 and 908 localized-release rows; the comparison remains bounded because it is not a fitted source-position or source-strength law.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS8_explicit_localized_production_summary.pdf
Fig. S9,paper2_figS9_907_tail_capture_mechanism,completed 907 downstream-release tail-capture mechanism,completed_907_production_result,supplement_keep_with_boundary,localized_release_support,"Useful support for retention-dominated internal release, but not a complete source-location law.",Supports 907 near-outlet retention to 10 ms; does not establish a general no-breakthrough law.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS9_907_tail_capture_mechanism.pdf
Fig. S10,paper2_figS10_source_position_comparison,source-position comparison for available 906 and 907 production windows,bounded_source_position_comparison,supplement_keep_with_boundary,localized_release_support,"Useful support for retention-dominated internal release, but not a complete source-location law.",Compares completed localized-release windows only; 906 is a longer 40 ms upstream-source check while 907 and 908 are 10 ms target-time checks.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS10_source_position_comparison.pdf
Fig. S11,paper2_figS11_mechanism_evidence_map,integrated mechanism-evidence map,derived_mechanism_synthesis,supplement_keep,mechanism_synthesis,Synthesis figure; ensure it is clearly marked as derived evidence rather than new data.,Synthesizes existing evidence for pre-clogging migration/filtering; does not add new transition or pressure-calibration claims.,True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS11_mechanism_evidence_map.pdf
Fig. S12,paper2_figS12_voxel_pressure_pilot,voxel-network pressure pilot,pressure_informed_structural_pilot,supplement_keep_with_boundary,bounded_pressure_proxy,Keep only as proxy or solver-input support; never describe as CFD/LBM or pressure calibration.,"Solves a scalar Darcy-Laplace problem on connected pore voxels; not CFD, not LBM and not a calibrated pressure-drop measurement.",True,True,papers/paper2_voxel_topology_clogging/figures/paper2_figS12_voxel_pressure_pilot.pdf
