risk_id,severity,risk_status,closure_state,reviewer_concern,linked_claims,linked_benchmarks,primary_artifacts,closure_evidence,boundary_to_preserve,submission_decision,missing_claim_links,missing_benchmark_links
R01,major,unresolved,requires_review,Chemical Engineering Science reviewers may ask whether Ib is supported by pressure-drop or CFD data.,C03_breakthrough_not_clogging; C07_pressure_proxy_small_response; C08_openfoam_pressure_returned,B03_porous_media_clogging_mechanisms; B05_pressure_flow_response,"Fig. 6; Fig. S3; Fig. S22; Fig. S23; Tables S6-S7, S10-S11, S15","Ib is kept pressure-free; Ergun, scalar voxel-network and cropped-domain OpenFOAM checks are reported as bounded pressure-flow evidence.",The manuscript states that Ib is a pressure-free structural pre-screening index and that the Ergun result is only a proxy.,revise_before_submission,,
R02,major,unresolved,requires_review,A reviewer could reject any claim of a universal transition because connectivity loss is not measurable in the current cases.,C03_breakthrough_not_clogging; C06_loading_increases_local_blockage; C09_no_universal_critical_transition,B02_packed_bed_deposition; B03_porous_media_clogging_mechanisms,Fig. 7; Fig. 9; Fig. 10; Tables S12-S14,"Current cases show migration, weak breakthrough and local blockage with zero measurable connectivity loss; transition language is explicitly excluded.","The manuscript frames the result as pre-clogging migration/filtering and states that identifying a bed-scale clogging threshold requires higher loading, localized release, or coupled flow.",revise_before_submission,,
R03,major,bounded,bounded_by_current_evidence,"The final BTC values are not monotonic with injected debris count, so reviewers may challenge trend claims.",C06_loading_increases_local_blockage,B02_packed_bed_deposition,Fig. 7; Fig. 9; Table S1; Table S14,The loading scan is used as bounded single-seed response evidence; repeat-seed evidence is confined to the near-threshold fixed-bed window.,The manuscript says the loading data are bounded loading responses rather than a monotonic breakthrough law.,acceptable_if_claims_remain_bounded,,
R04,major,resolved,closed_by_current_evidence,"The localized-release evidence now covers the planned target-time rows, but the case family is still too sparse to fit a general source-position or source-strength law.",C05_internal_source_retention,B02_packed_bed_deposition; B03_porous_media_clogging_mechanisms,"Fig. 4; Fig. 5; Fig. S8-S10; Fig. S19; Tables S1, S12-S13",All three localized-release production rows reached target time and are interpreted as mechanism evidence rather than a source-position law.,3/3 localized-release production jobs reached target physical time; the manuscript treats them as mechanism evidence rather than a fitted source-location law.,acceptable,,
R05,major,bounded,bounded_by_current_evidence,"The study has no physical CT/PIV experiment, so imaging terminology must be precise.",C01_baseline_connected_pore_skeleton,B04_topology_morphology_descriptors,Fig. 1; Fig. 2; Fig. S1; Tables S2-S4,"The manuscript and figure labels use DEM-derived voxel reconstruction or pore field wording, not experimental CT wording.",The manuscript uses DEM-derived pore reconstruction and explicitly rejects experimental computed-tomography interpretation.,acceptable_for_numerical_study,,
R06,major,bounded,bounded_by_current_evidence,Reviewers may ask whether drag forcing is physically realistic inside a tortuous packed bed.,C02_drag_to_weight_controls_migration; C08_openfoam_pressure_returned,B01_packed_bed_fines_clogging; B05_pressure_flow_response,"Fig. 3; Fig. S16; Fig. S23; Fig. S24; Fig. S26; Tables S11-S12, S18","Drag-to-weight trends are presented as one-way forcing results; Supplementary Table S18 documents debris diameter, nominal particle Reynolds number and recomputed Stokes drag-to-weight range; OpenFOAM checks are cropped-domain pressure-flow checks, not two-way DEM-CFD.","The manuscript states that the forcing is one-way Stokes drag, reports a dimensional drag-scaling audit, and does not solve the local gas field.",acceptable_as_first_mechanistic_model,,
R07,minor,bounded,bounded_by_current_evidence,"If the skeleton moves, transport differences could reflect bed rearrangement rather than debris migration.",C03_breakthrough_not_clogging; C06_loading_increases_local_blockage,B02_packed_bed_deposition; B06_fusion_blanket_relevance,Methods; Fig. 7; Table S1,Transport cases use a fixed compacted skeleton so debris migration is not confounded by large-pebble rearrangement.,Formal transport cases use a fixed compacted skeleton so the response is attributed to debris parameters.,acceptable,,
R08,minor,bounded,bounded_by_current_evidence,"Figures with text-heavy panels, black slices, or unclear provenance weaken a mechanism-first journal submission.",C01_baseline_connected_pore_skeleton; C03_breakthrough_not_clogging,B03_porous_media_clogging_mechanisms; B04_topology_morphology_descriptors,Figure provenance manifest; Fig. 1; Fig. 6; Fig. 8; Fig. 11,Figure provenance and revised captions keep panels data-linked and boundary-labeled without large explanatory text blocks.,"A figure provenance manifest records source scripts, exports, and claim boundaries for each figure.",acceptable_with_final_visual_QA,,
R09,minor,unresolved,requires_review,The target journal title should be concise and should not promise unavailable validation or critical transition evidence.,C09_no_universal_critical_transition,B06_fusion_blanket_relevance,Title; Abstract; Highlights; Conclusions,"The title and framing avoid experiment, CT and critical-transition claims and present a bounded DEM mechanism study.",The current title is Chemical Engineering Science-oriented and DEM-bounded: Separating breakthrough from pore-network clogging indicators in gas-driven fine-debris transport through Li4SiO4 pebble beds.,acceptable,,
R10,major,bounded,bounded_by_current_evidence,Reviewers may ask whether the 3D resistance-amplification result is a calibrated pore-flow or pressure-drop calculation.,C07_pressure_proxy_small_response; C08_openfoam_pressure_returned,B05_pressure_flow_response,"Fig. S22; Fig. S23; Fig. S24; Fig. S26; Tables S10-S11, S15",Reduced hydraulic sensitivity is labeled as scalar voxel-network evidence; OpenFOAM pressure evidence is separated as cropped-domain numerical checking.,"The manuscript and figure provenance identify Fig. S22/Table S15 as a scalar voxel-network sensitivity test, not OpenFOAM CFD, LBM, measured pressure or pressure-calibrated Ib.",acceptable_for_preclogging_scope,,
R11,blocker,needs_confirmation,open_admin_confirmation,"Journal submission requires data availability, funding, competing-interest, and acknowledgement statements.",C10_submission_admin_not_complete,,final_submission_gate.md; submission_metadata_gaps.json,The submission gate keeps administrative confirmation separate from scientific evidence readiness.,Readiness audit reports 1 needs-confirmation items.,must_resolve_before_submission,,
